ada,title,amount,locations,why,from_whom,into_what,afm
9ΛΟΠ46ΜΔΨΟ-5ΑΠ,"3η Τροποποίηση της Πράξης «Επιχορήγηση Ν.Π. ΕΥΡΩΠΑΪΚΗ ΚΟΙΝΩΝΙΑ ΠΟΛΙΤΙΚΗ ΕΚΦΡΑΣΗ ΘΕΣΜΟΙ-Ε.Κ.Π.Ε.Θ.Ε.
για την υλοποίηση του Έργου ""Λειτουργία Κ.Φ.Α.Α. στην Κυψέλη""» με Κωδικό ΟΠΣ 6016371 στο Πρόγραμμα «Πρόγραμμα
Ελλάδας - Ταμείο Ασύλου, Μετανάστευσης και Ένταξης 2021-2027»","1.585.839,00€","Κυψέλη, Αθήνα","Λειτουργία και παράταση λειτουργίας Κέντρου Φιλοξενίας Ασυνόδευτων Ανηλίκων (ΚΦΑΑ) για την παροχή φιλοξενίας, προστασίας και υποστήριξης σε ασυνόδευτους ανηλίκους.","Υπουργείο Μετανάστευσης και Ασύλου, μέσω της Ειδικής Υπηρεσίας Συντονισμού και Διαχείρισης Προγραμμάτων Μετανάστευσης και Εσωτερικών Υποθέσεων (Ε.Υ.ΣΥ.Δ.-Μ.Ε.Υ.) και του Ταμείου Ασύλου, Μετανάστευσης και Ένταξης.","ΕΥΡΩΠΑΪΚΗ ΚΟΙΝΩΝΙΑ ΠΟΛΙΤΙΚΗ ΕΚΦΡΑΣΗ ΘΕΣΜΟΙ-Ε.Κ.Π.Ε.Θ.Ε. (ΕΚΠΕΘΕ) για το έργο ""Λειτουργία Κ.Φ.Α.Α. στην Κυψέλη"".",
Ψ3ΝΧ46ΜΔΨΟ-8ΦΟ,Διορισμός υπαλλήλου Πανεπιστημιακής Εκπαίδευσης στο Υπουργείο Μετανάστευσης και Ασύλου,"Δεν αναφέρεται συγκεκριμένο χρηματικό ποσό. Αναφέρεται σε μισθολογικές ρυθμίσεις και ενίσχυση εισοδήματος μισθωτών, καθώς και σε βεβαίωση ύπαρξης πίστωσης για το έτος 63/11-6-2026.","Αγ. Ιωάννης Ρέντης (διεύθυνση Υπουργείου Μετανάστευσης και Ασύλου), Γενική Γραμματεία Μεταναστευτικής Πολιτικής, Γενική Διεύθυνση Μεταναστευτικής Πολιτικής, Διεύθυνση Μεταναστευτικής Πολιτικής, Τμήμα Ελέγχου.",Διορισμός υπαλλήλου Πανεπιστημιακής Εκπαίδευσης στο Υπουργείο Μετανάστευσης και Ασύλου.,Ο Προϊστάμενος της Γενικής Διεύθυνσης Διοικητικών και Οικονομικών Υπηρεσιών του Υπουργείου Μετανάστευσης και Ασύλου.,"Σε κενή οργανική θέση κατηγορίας Πανεπιστημιακής Εκπαίδευσης με σχέση εργασίας Δημοσίου Δικαίου στο Υπουργείο Μετανάστευσης και Ασύλου, για την υπάλληλο Λαμπροπούλου Ελένη.",Δεν αναφέρεται.
ΨΜΖΖ46ΜΔΨΟ-ΘΙ3,Ορισμός Εισηγητή Εκκαθάρισης Δαπάνης ΠΔΕ,Δεν αναφέρεται συγκεκριμένο χρηματικό ποσό.,Οι δράσεις αφορούν το Υπουργείο Μετανάστευσης και Ασύλου και το Υπουργείο Εθνικής Οικονομίας και Οικονομικών. Η διεύθυνση αποστολής είναι Αγ. Ιωάννης Ρέντης - Νίκαια.,"Για την απόδοση κωδικών στην Τσισκάκη Αθανασία, υπάλληλο του Τμήματος Εκτέλεσης ΠΔΕ και Λοιπών Δράσεων της Διεύθυνσης Οικονομικής Διαχείρισης του Υπουργείου Μετανάστευσης και Ασύλου, για τον ρόλο του Εισηγητή Εκκαθάρισης Δαπάνης στο e-pde, με σκοπό την πληρωμή δαπανών.","Υπουργείο Μετανάστευσης και Ασύλου (μέσω του Προϊσταμένου της Γενικής Διεύθυνσης Διοικητικών και Οικονομικών Υπηρεσιών, Δρ Σπυρίδωνα Ρίζου).","Στην ηλεκτρονική διαδικασία του ΠΔΕ για την πληρωμή δαπανών, μέσω της απόδοσης ρόλου Εισηγητή Εκκαθάρισης Δαπάνης στην Τσισκάκη Αθανασία.",Δεν αναφέρεται.
6ΣΚ146ΜΔΨΟ-Μ0Λ,"Περίληψη της πρώτης (1ης) Τροποποίησης της Προγραμματικής Σύμβασης
μεταξύ του Υπουργείου Μετανάστευσης και Ασύλου και της Α.Μ.Κ.Ε
«Odyssea», για την υλοποίηση του Έργου «“Bridging the Skills Gap”:
Πρόγραμμα ένταξης και απασχόλησης για μετανάστες και πρόσφυγες».","2.800.239,40 ευρώ","Δεν προσδιορίζονται συγκεκριμένες τοποθεσίες, αλλά αφορά μετανάστες και πρόσφυγες στην Ελλάδα.",Για την υλοποίηση του Έργου «“Bridging the Skills Gap”: Πρόγραμμα ένταξης και απασχόλησης για μετανάστες και πρόσφυγες».,Γενική Γραμματεία Μετανάστευσης του Ομοσπονδιακού Συμβουλίου της Ελβετίας,Α.Μ.Κ.Ε «Odyssea» για το Έργο «“Bridging the Skills Gap”: Πρόγραμμα ένταξης και απασχόλησης για μετανάστες και πρόσφυγες».,Δεν αναφέρεται
Ψ5Φ546ΜΔΨΟ-7ΚΜ,Άρση μετακίνηση υπαλλήλου στο Ιδιαίτερο Γραφείο της Υφυπουργού Μετανάστευσης και Ασύλου.,Δεν αναφέρεται,"Αγ. Ιωάννης Ρέντη, Διεύθυνση ΠΕ Α΄ Αθήνας, Αυτοτελές Κλιμάκιο Ασύλου Νίκαιας της Διεύθυνσης Αττικής της Υπηρεσίας Ασύλου, Ιδιαίτερο Γραφείο της Υφυπουργού Μετανάστευσης και Ασύλου",Άρση της μετακίνησης υπαλλήλου στο Ιδιαίτερο Γραφείο της Υφυπουργού Μετανάστευσης και Ασύλου και επιστροφή της στο Αυτοτελές Κλιμάκιο Ασύλου Νίκαιας,Υπηρεσιακή Γραμματέας του Υπουργείου Μετανάστευσης και Ασύλου,Άρση μετακίνησης της υπαλλήλου Παπαθανασίου Μαρίας και επιστροφή της στο Αυτοτελές Κλιμάκιο Ασύλου Νίκαιας,Δεν αναφέρεται
9ΦΓΙ46ΜΔΨΟ-ΧΤΧ,"Ανάληψη και Δέσμευση πίστωσης 1.626,50 € από τον Ε.Φ. 1055 206 , ΑΛΕ 2410204001 για την προμήθεια
ανταλλακτικών επισκευής και συντήρησης του οχήματος με αριθμό κυκλοφορίας ΚΥ 5047 του Υπουργείου Μετανάστευσης
και Ασύλου που χρησιμοποιείται από το ΚΥΤ Φυλακίου","1.626,50 €",ΚΥΤ Φυλακίου,Για την προμήθεια ανταλλακτικών επισκευής και συντήρησης του οχήματος με αριθμό κυκλοφορίας ΚΥ 5047 του Υπουργείου Μετανάστευσης και Ασύλου που χρησιμοποιείται από το ΚΥΤ Φυλακίου.,Υπουργείο Μετανάστευσης και Ασύλου,Προμήθεια ανταλλακτικών επισκευής και συντήρησης του οχήματος με αριθμό κυκλοφορίας ΚΥ 5047,
ΨΛΤΔ46ΜΔΨΟ-ΤΞ3,"Ανάληψη και Δέσμευση πίστωσης 471,20 € από τον Ε.Φ. 1055 202 , ΑΛΕ 2420989001 για την παροχή υπηρεσιών
απολύμανσης-απεντόμωσης-μυοκτονίας στο Περιφερειακό Γραφείο Ασύλου (ΠΓΑ) Θεσσαλονίκης επί της οδού Μοναστηρίου
85","471,20 €",Περιφερειακό Γραφείο Ασύλου (ΠΓΑ) Θεσσαλονίκης επί της οδού Μοναστηρίου 85,για την παροχή υπηρεσιών απολύμανσης-απεντόμωσης-μυοκτονίας,Υπουργείο Μετανάστευσης και Ασύλου,παροχή υπηρεσιών απολύμανσης-απεντόμωσης-μυοκτονίας,
ΨΠΟΦ46ΜΔΨΟ-Β2Π,"Ανάληψη και Δέσμευση πίστωσης 731,60 € από τον Ε.Φ. 1055 501 , ΑΛΕ 2410989899 για την προμήθεια τριάντα
πέντε (35) σημαιών εξωτερικού χώρου για τις ανάγκες του Υπουργείου Μετανάστευσης και Ασύλου","731,60 €",Υπουργείο Μετανάστευσης και Ασύλου,για την προμήθεια τριάντα πέντε (35) σημαιών εξωτερικού χώρου για τις ανάγκες του Υπουργείου Μετανάστευσης και Ασύλου,Υπουργείο Μετανάστευσης και Ασύλου,προμήθεια τριάντα πέντε (35) σημαιών εξωτερικού χώρου,
ΨΔ9Τ46ΜΔΨΟ-ΑΚΧ,"Λύση σύμβασης εργασίας της Παπαϊωάννου Αλεξάνδρας, υπαλλήλου Ιδιωτικού Δικαίου Ορισμένου Χρόνου της ΣΟΧ 1/2019 της Υπηρεσίας Ασύλου","Μισθολογική δαπάνη προσωπικού (εγκεκριμένες πιστώσεις της ΣΑΕ2751, του ΠΔΕ)","Οικισμοί Πλάκα Δήλεσι και Δήλεσι, Σχηματάρι/Οινοφύτων Δήμου Τανάγρας (Βοιωτία)",Παράταση συμβάσεων προσωπικού για τις ανάγκες υποέργου 3 «Αρχαιολογικές Έρευνες και Εργασίες»,Προϊσταμένη της Εφορείας Αρχαιοτήτων Βοιωτίας (Υπουργείο Πολιτισμού),Υποέργο 3 «Αρχαιολογικές Έρευνες και Εργασίες» στο πλαίσιο της πράξης «Κατασκευή Δικτύων Αποχέτευσης Ακάθαρτων στους Οικισμούς Πλάκα Δήλεσι και Δήλεσι και Επέκταση/Αναβάθμιση ΒΙΟ. ΚΑ. Σχηματαρίου/Οινοφύτων Δήμου Τανάγρας»,
9ΞΥΞ46ΜΔΨΟ-ΥΦΣ,"Έγκριση Πρωτοκόλλου Οριστικής Παραλαβής Εργασιών του Αναδόχου «ΣΙΔΗΡΟΔΡΟΜΙΚΑ ΕΡΓΑ ΑΝΩΝΥΜΗ ΕΡΓΟΛΗΠΤΙΚΗ ΚΑΤΑΣΚΕΥΑΣΤΙΚΗ ΕΤΑΙΡΕΙΑ», για το έργο «Εργασίες περίφραξης και εγκατάστασης υποδομών ασφάλειας στις Δομές Μαλακάσας 1, Μαλακάσας 2, Ριτσώνας και Πύργου»","Αρχική Σύμβαση 200.984,63 €, 1η ΣΣΕ 165.230,42 €, αναθεώρηση 31.054,10 € (χωρίς Φ.Π.Α. 24%)","Μαλακάσα 1, Μαλακάσα 2, Ριτσώνα",Έγκριση Πρωτοκόλλου Οριστικής Παραλαβής Εργασιών,Υπουργείο Μετανάστευσης και Ασύλου,Εργασίες περίφραξης και εγκατάστασης υποδομών ασφάλειας,
ΨΡ0Η46ΜΔΨΟ-25Θ,"Αυτοδίκαια Λύση σύμβασης εργασίας του Παπαντώνη Νικόλαου, υπαλλήλου Ιδιωτικού Δικαίου Ορισμένου Χρόνου της ΣΟΧ 1/2019 της Υπηρεσίας Ασύλου, λόγω πρόσληψής του στο Υπουργείο Εξωτερικών","Το κόστος ενός ασπρόμαυρου ΦΕΚ από 1 έως 16 σελίδες είναι 1,00 €, αλλά για κάθε επιπλέον οκτασέλιδο (ή μέρος αυτού) προσαυξάνεται κατά 0,20 €. Το κόστος ενός έγχρωμου ΦΕΚ από 1 έως 16 σελίδες είναι 1,50 €, αλλά για κάθε επιπλέον οκτασέλιδο (ή μέρος αυτού) προσαυξάνεται κατά 0,30 €. Το τεύχος Α.Σ.Ε.Π. διατίθεται δωρεάν.","Αθήνα (Καποδιστρίου 34, 10432) και ηλεκτρονικά μέσω www.et.gr","Για τη σύνταξη, διαχείριση, εκτύπωση και κυκλοφορία των Φύλλων της Εφημερίδας της Κυβερνήσεως (ΦΕΚ), καθώς και για την κάλυψη των εκτυπωτικών - εκδοτικών αναγκών του δημοσίου και του ευρύτερου δημόσιου τομέα.",Εθνικό Τυπογραφείο (δημόσια υπηρεσία υπαγόμενη στην Προεδρία της Κυβέρνησης),"Πώληση ΦΕΚ (ασπρόμαυρων και έγχρωμων), ετήσιες συνδρομές, και εκτυπωτικές - εκδοτικές υπηρεσίες (έντυπα, φυλλάδια, βιβλία, αφίσες, μπλοκ, μηχανογραφικά έντυπα, φακέλους, ψηφιακές εκδόσεις, λογότυπα, οπτικοακουστικό υλικό) για το δημόσιο και τον ευρύτερο δημόσιο τομέα.",
9Ω5Χ46ΜΔΨΟ-2ΗΞ,"ΤΡΟΠΟΠΟΙΗΣΗ ΤΗΣ ΠΡΟΣΚΛΗΣΗΣ ΜΕ ΤΙΤΛΟ «Επιχορήγηση φορέων για τη λειτουργία Εποπτευόμενων Διαμερισμάτων Ημιαυτόνομης Διαβίωσης για Aσυνόδευτους Ανήλικους 16 ετών και άνω (SILS) [2026]» ΓΙΑ ΤΗΝ ΥΠΟΒΟΛΗ ΠΡΟΤΑΣΕΩΝ  
ΣΤΟ ΠΡΟΓΡΑΜΜΑ Πρόγραμμα Ελλάδας - Ταμείο Ασύλου, Μετανάστευσης και  Ένταξης","6.000.000,00€ (συγχρηματοδοτούμενη δημόσια δαπάνη). Επιπλέον, οικονομικό βοήθημα 50 ευρώ εφάπαξ κατά την εισαγωγή, 150 ευρώ μηνιαίως (σε δύο δόσεις των 75 ευρώ) και 18,25 ευρώ ανά δόση για διοικητική υποστήριξη.",Ελλάδα,"Για τη λειτουργία Εποπτευόμενων Διαμερισμάτων Ημιαυτόνομης Διαβίωσης (Ε.Δ.Η.Δ.) για Ασυνόδευτους Ανήλικους 16 ετών και άνω (SILS), με σκοπό τη διασφάλιση της ομαλής μετάβασης αυτών στην ενηλικίωση, στην αυτόνομη διαβίωση και στην κοινωνική ένταξη, παρέχοντας ένα σταθερό πλαίσιο υποστήριξης. Καλύπτει 140 θέσεις φιλοξενίας για 24 μήνες, για συνολικά 420 ασυνόδευτους ανήλικους.","Υπουργείο Μετανάστευσης και Ασύλου, Γενική Γραμματεία Μεταναστευτικής Πολιτικής, Ειδική Υπηρεσία Συντονισμού και Διαχείρισης Προγραμμάτων Μετανάστευσης και Εσωτερικών Υποθέσεων (Ε.Υ.ΣΥ.Δ.-Μ.Ε.Υ.), μέσω του Προγράμματος Ελλάδας - Ταμείο Ασύλου, Μετανάστευσης και Ένταξης (ΤΑΜΕ).","Επιχορήγηση φορέων (Διεθνείς οργανισμοί, Παραρτήματα διεθνών οργανώσεων και αλλοδαπών ΜΚΟ στην Ελλάδα, Ν.Π.Ι.Δ., Ενώσεις Προσώπων, ΜΚΟ, Αστικές Εταιρείες Μη Κερδοσκοπικού Χαρακτήρα, Δήμοι, Ν.Π.Δ.Δ., Κοινωφελή Ιδρύματα, Σωματεία) για τη λειτουργία Εποπτευόμενων Διαμερισμάτων Ημιαυτόνομης Διαβίωσης για Ασυνόδευτους Ανήλικους 16 ετών και άνω (SILS).",Δεν αναφέρεται στο κείμενο.
